TIME_ID,MONTH_ID,YEAR_ID
2003-04-01,4,2003
2003-05-07,5,2003
2003-05-08,5,2003
2003-05-20,5,2003
2003-07-01,7,2003
2003-07-04,7,2003
2003-07-10,7,2003
2003-11-08,11,2003
2003-11-11,11,2003
2003-11-25,11,2003
2004-01-02,1,2004
2004-01-15,1,2004
2004-02-02,2,2004
2004-02-21,2,2004
2004-03-02,3,2004
2004-04-13,4,2004
2004-05-26,5,2004
2004-06-04,6,2004
2004-07-23,7,2004
2004-08-28,8,2004
2004-09-27,9,2004
2004-10-11,10,2004
2004-10-29,10,2004
2004-11-20,11,2004
2004-11-24,11,2004
2004-11-25,11,2004
2004-12-09,12,2004
2004-12-15,12,2004
2005-01-06,1,2005
2005-02-03,2,2005
2005-03-17,3,2005
2005-03-28,3,2005
2005-03-30,3,2005
2005-04-07,4,2005
2005-04-14,4,2005
2005-05-31,5,2005
